author,published_at,updated_at,like_count,text
@flz_5848,2023-10-24T21:30:13Z,2023-10-24T21:30:13Z,18,You gave this album a 0 which is basically a Light 0 which is basically a Decent 0 which is basically a Strong 0 which is basically a Light 1 which is basically a Decent 1 which is basically a Strong 1 which is basically a Light 2 which is basically a Decent 2 which is basically a Strong 2 which is basically a Light 3 which is basically a Decent 3 which is basically a Strong 3 which is basically a Light 4 which is basically a Decent 4 which is basically a Strong 4 which is basically a Light 5 which is basically a Decent 5 which is basically a Strong 5 which is basically a Light 6 which is basically a Decent 6 which is basically a Strong 6 which is basically a Light 7 which is basically a Decent 7 which is basically a Strong 7 which is basically a Light 8 which is basically a Decent 8 which is basically a Strong 8 which is basically a Light 9 which is basically a Decent 9 which is basically a Strong 9 which is basically a 10.
@buttzilla6958,2023-10-24T00:12:42Z,2023-10-24T00:12:42Z,0,You can literally see the chair in this one… and no one noticed until he pointed out that he sits
@sp0ngey,2023-10-22T19:39:31Z,2023-10-22T19:39:31Z,2,I love this album
@joonan9757,2023-10-06T19:39:44Z,2023-10-06T19:39:44Z,1,I hate this guy
@user-tj3oe7fh1b,2023-09-17T08:51:42Z,2023-09-17T08:51:42Z,3,You have to be in a certain space to discover this you can’t just listen and the demo tracks went over his head because he don’t make music. Music is for him not you
@Humble-iq5ue,2023-09-15T20:37:30Z,2023-09-15T20:37:30Z,1,Speeding bullet to the trash can 😅
@iBuyHousesFastOhio,2023-09-15T14:26:35Z,2023-09-15T14:26:35Z,2,I hate how people like you can have a voice.
@andrei11dr,2023-09-09T10:05:05Z,2023-09-09T10:05:05Z,4,"Today I had this thought &quot;oh yeah that thing, let me give it another listen,  maybe it wasn&#39;t as bad as I remember&quot;<br>Yeah,  I got 3 songs in and then checked the run time and saw 90 MINUTES and I backed the fuck down. <br>Unless you&#39;re an amazing songwriter,  punk rock and long run times don&#39;t go well together"
@dionysusyphus,2023-08-16T21:31:13Z,2023-08-16T21:31:13Z,0,"Unless you experienced the &quot;Dark Night Soul&quot;(or the &quot;Kundalini Blues&quot; as I call it) on your Psychological/Spiritual/Artodyic journey to finding wholeness/enlightenment/individuation and also are honest enough with  oneself&#39;s to realize the piece of trash many of us also are too, deep down[and of course have a biase for grunge music, perhaps because of those reasons] then you probably should even listen or attempt to judge this music, its made for the few who&#39;ve been their and if you have you realize the rare masterpiece it was that most artist<br><b>(until the indie scene literally took this main stream n this album would probably top some charts if released today with all the indie, psychedic, music, festival, thats celebratory while still emo that erupted slowly through the years after its release..)</b><br>never take those chances and I&#39;m beyond grateful he did."
@fizzie2301,2023-08-06T07:04:31Z,2023-08-06T07:04:31Z,1,I really wish you would’ve put a Beavis and Butthead skit at the end of this review. Missed opportunity
@kristofermccormack6,2023-07-31T14:51:43Z,2023-07-31T14:51:43Z,5,I watch this when I need cheering up
@yungboiii515,2023-07-30T17:52:02Z,2023-07-30T17:52:02Z,1,Bruh u wrong this album deserves at least like a solid 5 or sum not 0. You should give Lil Pump a zero💀
@dimasguerreiro,2023-07-30T00:32:49Z,2023-07-30T00:32:49Z,2,"Melon should do a redux of this, i think SB2H is actually amazing"
@jacksonwatkins6431,2023-06-08T02:55:41Z,2023-06-08T02:55:41Z,7,"The album reminds me of how I once heard The Room described: A movie made by someone who has never seen a movie but had movies described to them. SB2H sounds like an album made by a person who has never heard a 90&#39;s alternative album but has had 90&#39;s alternative music explained to them. Also a person who doesn&#39;t have the chops to make this kind of music. Which is not to say that it takes virtuosic chops, and not to say that Scott isn&#39;t talented, he&#39;s just not a good singer or musician in the way that the music he was trying to make demands."
@solidius2224,2023-05-30T21:30:28Z,2023-05-30T21:30:28Z,14,"<a href=""https://www.youtube.com/watch?v=CJDcbwpsjU0&amp;t=460"">7:40</a> I literally rewatch this video for this part"
@NHL-Z,2023-05-29T11:36:12Z,2023-05-29T11:36:12Z,15,This is one of the only albums I can pick up when I feel like everything is falling apart around me. For anyone that’s ever been severely depressed and/or battling addiction this project hits in places other can’t.
@hipass_,2023-05-28T09:22:01Z,2023-05-28T09:22:01Z,1,This is def his funniest thumbnail ever
@u2rocks7993,2023-05-25T14:52:48Z,2023-05-25T14:52:48Z,18,"I can understand why people don’t like this album, but for me, it’s honesty and raw amount of ass really speaks to me."
@destruktow5891,2023-05-19T23:57:04Z,2023-05-19T23:57:04Z,9,fact is that this album IS cudi. this is the rawest emotion he&#39;s ever expressed. if you hate this album you&#39;ve never felt anything close to what cudi felt when making it
@kanyewestandkidcudilover,2023-05-09T16:47:41Z,2023-05-09T16:47:41Z,7,This album aged like milk
@ryderrodriguez4179,2023-03-30T15:09:02Z,2023-03-30T15:09:02Z,5,its kinda sad how blind this video is but its valid for the time it was released because people where shocked by change
