author,published_at,updated_at,like_count,text
@jasaih7220,2024-04-04T16:17:59Z,2024-04-04T16:17:59Z,0,rip bh sat trilogy is so good
@Billiamwoods,2023-08-24T18:16:00Z,2023-08-24T18:16:00Z,0,"I can&#39;t be the only one who thinks this is easily one of their worst albums. I don&#39;t know what it is, but the songwriting, hooks and vocal effects are just night and day between even just this and Sat2 for me."
@oldsammyboy8916,2023-06-10T03:12:41Z,2023-06-10T03:12:41Z,0,how is face your least fav what
@alphalax7747,2023-02-16T14:44:06Z,2023-02-16T14:44:06Z,1,These guys are the only examples i know of good ripoffs
@josh1300wht,2023-01-31T06:41:35Z,2023-01-31T06:41:35Z,0,2023?
@teste_juggler,2022-12-05T00:40:55Z,2022-12-05T00:40:55Z,3,the beginning of something amazing
@ceebad8985,2022-12-04T11:51:25Z,2022-12-04T11:51:25Z,2,Damn it’s all over 😢.
@bojiden9830,2022-11-30T14:24:58Z,2022-11-30T14:24:58Z,1,I can&#39;t believe this is already 5 years old
@Kyoko_,2022-11-29T10:05:43Z,2022-11-29T10:05:43Z,5,"This was the first Hip Hop/Rap album I ever really connected with back in Winter 2017 and I checked it out because of this review. I remember working at shoe store for shit wage, age 24, cleaning the staff bathroom, listening to this for the first time because Anthony sounded so ecstatic about the album. I was nearly moved to tears when WASTE finished. I listened to the album a second time immediately. The BOOGIE video dropped like a week later and the rest is history."
@willstrickland7110,2022-11-28T16:35:39Z,2022-11-28T16:35:39Z,41,"Coming back to this following The Family and TM’s release is bittersweet. No matter how good something seems, it could end in just a few days, months, or for BH years. Take time to appreciate memories as they’re being created!"
@davidcremin3837,2022-11-25T01:18:30Z,2022-11-25T01:18:30Z,15,Good times
@nikeythm6519,2022-11-23T17:59:34Z,2022-11-23T17:59:34Z,33,When and where did it all go wrong…
@pigeoned,2022-11-23T07:38:01Z,2022-11-23T07:38:01Z,51,who else is here after he gave the albums a 3 and 4/10
@chasesturgeon1151,2022-11-23T06:17:12Z,2022-11-23T06:17:12Z,14,here after TF and TM reviews 😢😢
@fucksleepordie,2022-11-22T02:53:42Z,2022-11-22T02:53:42Z,12,i miss the band already
@Mointler,2022-11-20T21:06:17Z,2022-11-20T21:06:17Z,3,watching this in late 2022.. sad times lol
@ciaoitalo,2022-11-04T02:42:32Z,2022-11-04T02:42:32Z,6,Man the way anthony describes heat just gets me PUMPED
@jacktheripper6909,2022-09-10T03:17:49Z,2022-09-10T03:17:49Z,8,What i’d do to go back in time man…
@smalltok4638,2022-06-24T18:32:32Z,2022-06-24T18:32:32Z,5,"This video came out on my birthday 5 years ago, thank you anthony! Really enjoyed this revisit to your review. It&#39;s a shame this was your last video, rest in peace"
@ahmedareeb1576,2022-03-18T01:43:31Z,2022-03-18T01:43:31Z,3,FACE IS SO GOOOD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
@707outxo3,2022-03-11T03:33:48Z,2022-03-11T03:33:48Z,10,"“every track is great, too bad kevin is gay 3/10” man"
@cheez617,2022-01-15T14:06:31Z,2022-01-15T14:06:31Z,1,: (
@blankexpression3,2022-01-14T19:19:00Z,2022-01-14T19:19:00Z,2,I love and I&#39;ll always love BROCKHAMPTON. Hope they reunite soon and I really hope that bearface drops a solo project.
@m-tetsuo,2022-01-03T10:12:18Z,2022-01-03T10:12:18Z,0,Almost unsubscribed because of rating this shit boyband a 9 - but then I saw the rating for Ariel Pink and Badbadnotgood
@taurusrk2006,2021-10-18T13:50:02Z,2021-10-18T13:50:02Z,2,I&#39;m going through all your video to just disslike
@jackely3300,2021-08-29T20:01:55Z,2021-08-29T20:01:55Z,5,This album has aged the best out of all the saturation projects imo
@nicke.424,2021-07-22T05:10:22Z,2021-07-22T05:11:16Z,8,I remember when these guys were still small and I went to the topic video for bump with only twenty comments. One guy just said “?” Lol
@dracks.3590,2021-06-25T05:41:38Z,2021-06-25T05:41:38Z,6,Best saturation’s out of all 3
@qhoever,2021-06-19T18:43:23Z,2021-06-19T18:43:23Z,1,face is still the second best track on this album man I can&#39;t believe it&#39;s his least favorite
@fbtark1734,2021-06-16T12:16:16Z,2021-06-16T12:16:16Z,0,Is Gold on Fifa 21?
@Nanhabby123,2021-04-26T07:00:21Z,2021-04-26T07:00:21Z,301,"Album was ahead of it’s time. Literally, he’s wearing a face mask."
@hayden7062,2021-04-23T04:46:16Z,2021-04-23T04:46:16Z,2,"What I don&#39;t understand, is how american boyfriend was on why you no review, yet melon is singing the albums praises at the beginning here 😑"
